country,continent,year,lifeExp,pop,gdpPercap
China,Asia,1952,44,556263527,400.448611
China,Asia,1957,50.54896,637408000,575.9870009
China,Asia,1962,44.50136,665770000,487.6740183
China,Asia,1967,58.38112,754550000,612.7056934
China,Asia,1972,63.11888,862030000,676.9000921
China,Asia,1977,63.96736,943455000,741.2374699
China,Asia,1982,65.525,1000281000,962.4213805
China,Asia,1987,67.274,1084035000,1378.904018
China,Asia,1992,68.69,1164970000,1655.784158
China,Asia,1997,70.426,1230075000,2289.234136
China,Asia,2002,72.028,1280400000,3119.280896
China,Asia,2007,72.961,1318683096,4959.114854
Japan,Asia,1952,63.03,86459025,3216.956347
Japan,Asia,1957,65.5,91563009,4317.694365
Japan,Asia,1962,68.73,95831757,6576.649461
Japan,Asia,1967,71.43,100825279,9847.788607
Japan,Asia,1972,73.42,107188273,14778.78636
Japan,Asia,1977,75.38,113872473,16610.37701
Japan,Asia,1982,77.11,118454974,19384.10571
Japan,Asia,1987,78.67,122091325,22375.94189
Japan,Asia,1992,79.36,124329269,26824.89511
Japan,Asia,1997,80.69,125956499,28816.58499
Japan,Asia,2002,82,127065841,28604.5919
Japan,Asia,2007,82.603,127467972,31656.06806
"Korea, Dem. Rep.",Asia,1952,50.056,8865488,1088.277758
"Korea, Dem. Rep.",Asia,1957,54.081,9411381,1571.134655
"Korea, Dem. Rep.",Asia,1962,56.656,10917494,1621.693598
"Korea, Dem. Rep.",Asia,1967,59.942,12617009,2143.540609
"Korea, Dem. Rep.",Asia,1972,63.983,14781241,3701.621503
"Korea, Dem. Rep.",Asia,1977,67.159,16325320,4106.301249
"Korea, Dem. Rep.",Asia,1982,69.1,17647518,4106.525293
"Korea, Dem. Rep.",Asia,1987,70.647,19067554,4106.492315
"Korea, Dem. Rep.",Asia,1992,69.978,20711375,3726.063507
"Korea, Dem. Rep.",Asia,1997,67.727,21585105,1690.756814
"Korea, Dem. Rep.",Asia,2002,66.662,22215365,1646.758151
"Korea, Dem. Rep.",Asia,2007,67.297,23301725,1593.06548
"Korea, Rep.",Asia,1952,47.453,20947571,1030.592226
"Korea, Rep.",Asia,1957,52.681,22611552,1487.593537
"Korea, Rep.",Asia,1962,55.292,26420307,1536.344387
"Korea, Rep.",Asia,1967,57.716,30131000,2029.228142
"Korea, Rep.",Asia,1972,62.612,33505000,3030.87665
"Korea, Rep.",Asia,1977,64.766,36436000,4657.22102
"Korea, Rep.",Asia,1982,67.123,39326000,5622.942464
"Korea, Rep.",Asia,1987,69.81,41622000,8533.088805
"Korea, Rep.",Asia,1992,72.244,43805450,12104.27872
"Korea, Rep.",Asia,1997,74.647,46173816,15993.52796
"Korea, Rep.",Asia,2002,77.045,47969150,19233.98818
"Korea, Rep.",Asia,2007,78.623,49044790,23348.13973
